item,itemLabel,startDate,endDate
Q5489236,Frank Robert Miller,1964,1966
Q3170066,Jean-Victor Allard,1966,1969
Q5498596,Frederick Ralph Sharp,1969,1972
Q3158743,Jacques Alfred Dextraze,1972,1977
Q7345502,Robert Hilborn Falls,1977,1980
Q7290236,Ramsey Muir Withers,1980,1983
Q5625990,Gérard Charles Édouard Thériault,1983,1986
Q16095747,Paul David Manson,1986,1989
Q3182811,John de Chastelain,1989,1993-01
Q14949491,John Rogers Anderson,1993-01,1993-12
Q3182811,John de Chastelain,1994-01,1995-12
Q6170312,Joseph Édouard Jean Boyle,1996-01,1996-10-08
Q6490856,Larry Murray,1996-10-08,1997-09-17
Q604334,Maurice Baril,1997-09-17,2001-06-28
Q344404,Raymond Henault,2001-06-28,2005-06-17
Q360390,Rick Hillier,2005-06-17,2008-07-01
Q2420414,Walter Natynczyk,2008-07-01,2012-10-29
Q3530771,Thomas J. Lawson,2012-10-29,2015-07-17
Q20682472,Jonathan Vance,2015-07-17,2021-01-14
Q25189324,Art McDonald,2021-01-14,2021-02-24
Q65658652,Wayne Eyre,2021-02-24,
Q65658652,Wayne Eyre,2021-11-25,
