item,itemLabel,startDate,endDate,psid
Q15280719,Tim Houston,2021-08-31,,Q15280719-EE0E1DA3-695A-44E1-A8A3-19EF042C2E32
Q15285291,Iain Rankin,2021-02-23,2021-08-31,Q15285291-CC5816EA-CECA-4635-BBBC-E613A27D41FA
Q3181141,John Buchanan,1978-10-05,1990-09-12,Q3181141-8225398E-3F02-4756-B026-DF2B1057D81B
Q3498613,Stephen McNeil,2013-10-22,2021-02-23,Q3498613-5B639BE2-F3C0-4774-ADA3-0D83B94CC8CF
Q128686,John Sparrow David Thompson,1882-05-25,1882-07-18,q128686-9194E887-B3EF-4F5A-BD8B-DCBD1D2B2B7D
Q1585862,Harold Connolly,1954-04-14,1954-09-29,q1585862-1E9133F8-D9D5-4F2A-95DD-46C09EEB3459
Q247524,Gerald Regan,1970-10-28,1978-10-05,q247524-7FF8B3B0-9D52-424D-989B-793212B62717
Q2849816,Angus Lewis Macdonald,1933-09-05,1940-07-10,q2849816-9DDC3C6A-BA9E-446D-B72B-1A85A5B02D16
Q3036107,Donald William Cameron,1991-02-26,1993-06-11,q3036107-76B505E4-C993-45E9-A370-9FDA4D24D39A
Q3047475,Edgar Nelson Rhodes,1925-07-16,1930-08-11,q3047475-2AB3EAE1-FEAB-4B1B-9CBE-3FB00398FC34
Q3057006,Ernest Howard Armstrong,1923-01-24,1925-07-16,q3057006-A469C91D-0DFF-40BD-B89C-68A292E1FE20
Q3101643,George Henry Murray,1896-07-20,1923-01-24,q3101643-619B3CA3-10FE-4612-A956-1289B8C35A18
Q3101662,George Isaac Smith,1967-09-13,1970-10-28,q3101662-EC9DECF8-4ABD-4DA0-8DD1-EB40978AF876
Q3132829,Henry Hicks,1954-09-30,1956-11-20,q3132829-92A13D16-0031-4259-BC29-43EBB3FE6B50
Q3136197,Hiram Blanchard,1867-07-04,1867-09-30,q3136197-35A3FE17-194C-4C5F-BB33-1F77D3C92009
Q3181686,John Hamm,1999-08-16,2006-02-24,q3181686-41C3BD46-EFB6-4720-B4DD-ECD12F2CFEDB
Q3182436,John Savage,1993-06-11,1997-07-18,q3182436-5D2EEE13-B742-4D47-8696-E3793D283665
Q3378986,Philip Carteret Hill,1875-05-11,1878-10-15,q3378986-E375AECF-4460-45BF-856A-35774B67B66B
Q3439473,Roger Stuart Bacon,1990-09-12,1991-02-26,q3439473-C1D1D8A1-65FA-4533-96B4-62BC5EF5153E
Q3453480,Russell MacLellan,1997-07-18,1999-08-16,q3453480-BE92C879-F52E-44F5-B0FD-CFAE965E7140
Q3484303,Simon Hugh Holmes,1878-10-22,1882-05-23,q3484303-3917CC27-9D2E-46D8-8E82-EFC02B8F2D06
Q3568392,William Annand,1867-11-07,1875-05-08,q3568392-D9A2B18A-1B51-4717-A20D-7DCD78376A01
Q3568973,William Stevens Fielding,1884-07-28,1896-07-18,q3568973-CB09D89E-C1B8-4239-A16A-60049950FDD1
Q3568997,William Thomas Pipes,1882-08-03,1884-07-15,q3568997-D93BF6E6-9F4E-461B-8C30-31DBCE4C9561
Q461101,Robert Stanfield,1956-11-20,1967-09-13,q461101-6CD2627C-9BFB-484E-B9D6-D80F4A9CE344
Q507927,Gordon Sidney Harrington,1930-08-11,1933-09-05,q507927-E6B041FD-E791-401E-8B96-63392F0414C1
Q949159,Alexander Stirling MacMillan,1940-07-10,1945-09-08,q949159-102EC591-3959-4B5E-9F8D-E79D0676857D
