province,provinceLabel,position,positionLabel,person,personLabel,start,psid
Q1951,Alberta,Q3401750,Premier of Alberta,Q3162959,Jason Kenney,2019-04-30,Q3162959-6ffb7250-4224-bd01-375b-a67fdc453f9e
Q1973,British Columbia,Q7240349,Premier of British Columbia,Q6239861,John Horgan,2017-07-18,Q6239861-ea3506b0-4dda-216e-f407-2317fc569159
Q1948,Manitoba,Q3401758,Premier of Manitoba,Q5694126,Heather Stefanson,2021-11-02,Q5694126-FA57ACEC-4936-42C7-AA09-EF667048D645
Q1965,New Brunswick,Q12270252,Premier of New Brunswick,Q2905723,Blaine Higgs,2018-11-09,Q2905723-74b825f4-48e5-6fd9-3d55-6c07fc897bb4
Q2003,Newfoundland and Labrador,Q7240356,Premier of Newfoundland and Labrador,Q98098468,Andrew Furey,2020-08-19,Q98098468-1588ebf6-4618-f33f-e7e6-7c656820974f
Q2007,Northwest Territories,Q7240368,Premier of the Northwest Territories,Q22277389,Caroline Cochrane,2019-10-24,Q22277389-86a748af-4d32-56b6-6cba-90a0aae84319
Q1952,Nova Scotia,Q7240360,Premier of Nova Scotia,Q15280719,Tim Houston,2021-08-31,Q15280719-EE0E1DA3-695A-44E1-A8A3-19EF042C2E32
Q2023,Nunavut,Q4377222,Premier of Nunavut,Q16211583,Joe Savikataaq,2018-06-14,Q16211583-d2e2d6da-4472-b411-11ed-3aa2416e0321
Q1904,Ontario,Q2560704,Premier of Ontario,Q5300478,Doug Ford,2018-06-29,Q5300478-e412768b-4428-1be2-a607-384ade23fa64
Q1978,Prince Edward Island,Q7240361,Premier of Prince Edward Island,Q61819600,Dennis King,2019-05-09,Q61819600-5bcc54b7-4f90-7d0e-5324-7e2870c1b04c
Q176,Quebec,Q2911019,Premier of Quebec,Q3085147,François Legault,2018-10-18,Q3085147-b710eb45-4499-fe37-b7a2-36a66c758f6e
Q1989,Saskatchewan,Q6578215,Premier of Saskatchewan,Q7436891,Scott Moe,2018-02-02,Q7436891-D6ABC76F-160E-4BE3-9A5D-DDC8E4D28061
Q2009,Yukon,Q12270260,Premier of Yukon,Q1841565,Sandy Silver,2016-12-03,Q1841565-b78dbead-4bf3-8a62-4fb4-8d96f3f00685
